Country,Land
"%s (%d-%d kg, %dx%dx%d cm) ","%s (%d-%d kg, %dx%dx%d cm) "
Version incompatible,Deze versie is niet geschikt
Your Magento version is incompatible with this module,Uw versie van Magento is niet geschikt voor deze plug-in.
Minimal Magento version requirement: ,Minimale Magento versie: 
Current version: ,Huidige versie: 
Status,Status
Module status: Disabled!,Plug-in status: uitgeschakeld!
Module status: Outdated!,Plug-in status: verouderd!
Module status: OK!,Plug-in status: OK!
Delivery to the address of the recipient,Bezorging op het adres van de ontvanger
Delivery to the specified DHL Parcelshop or DHL Parcelstation,Bezorging op gekozen DHL ServicePoint of Locker
E-mail to receiver,E-mail naar ontvanger
Evening delivery,Avondbezorging
Extra assurance,Extra Zeker
Mailbox delivery,Brievenbuspakje
No neighbour delivery,Niet bij buren bezorgen
Print extra label for return shipment,Print extra label voor retourzending
Reference,Referentie
Same-day delivery,DHL Vandaag
Signature on delivery,Handtekening bij ontvangst
Today,Vandaag
Tomorrow,Morgen
A.S.A.P.,Zo snel mogelijk
Shipping Date,Verzenddatum
Press 'Submit Shipment' to generate your labels,Klik op 'Zending Aanmaken' om de labels te maken
Private,Consument
Business,Zakelijk
Order,Bestelling
"Additional transport insurance. If the value of the goods exceeds € 50.000, please contact our Customer Service prior to shipping.","Extra verzekering voor uw waardevolle zending. Wanneer de goederenwaarde meer dan €50.000 bedraagt, vraag dan eerst toestemming via Customer Service."
Other ServicePoint,Ander DHL punt
Select ServicePoint,Selecteer DHL punt
Distance,Afstand
Using a reference causes the volume discount for multi colli shipments to be applied correctly.,Vul een referentie in bij multicolli zendingen voor een juiste verwerking van de staffelkorting.
"Can't create a mailbox-shipment for order #%s, customer wants a ServicePoint delivery",Bij bezorging op een DHL ServicePoint is het niet mogelijk om voor bestelling #%s een label voor een brievenbuspakket aan te maken.
Error for order %s: %s,Foutmelding voor bestelling %s: %s
Can't create a shipment for orderId #%s,Het is niet mogelijk om een label te maken voor bestelling #%s
%d shipment(s) are created with success,%d label(s) zijn succesvol aangemaakt
No label available for shipment #%s,Geen label beschikbaar voor bestelling #%s
There was an error creating your label: %s,Er is een fout opgetreden bij het aanmaken van uw label: %s
There was an error creating your label. Please check your log-file for more information.,Er is een fout opgetreden bij het aanmaken van uw label. Controleer uw log bestand voor meer informatie.
Could not retrieve street and housenumber from the recipient address.,Straat en huisnummer van de ontvanger niet beschikbaar.
Could not retrieve street and housenumber from the shipper address. Please check your settings in System -> Configuration -> Sales -> Shipping Settings -> Origin: Street Address not set (correctly),Straat en huisnummer van de verzender niet beschikbaar. Controleer uw instellingen bij Systeem -> Configuratie -> Verkoop -> Verzendinstellingen -> Afkomst: het adres is niet goed ingesteld
"Please check your settings in System -> Configuration -> Sales -> Shipping Methods -> ""DHLParcel - Return Labels"": Address not set (correctly)","Controleer uw instellingen bij Systeem -> Configuratie -> Verkoop -> Verzendmethoden -> ""DHLParcel - Retour labels"": het adres is niet goed ingesteld"
Error occurred while trying to split address '%s',Er is een fout ontstaan bij het splitsen van de straat en het huisnummer '%s'
"Please check your settings in System -> Configuration -> Sales -> Shipping Methods -> ""DHLParcel - Undisclosed sender (B2B)"": Address not set (correctly)","Controleer uw instellingen bij Systeem -> Configuratie -> Verkoop -> Verzendmethoden -> ""DHLParcel - Verberg verzender (B2B)"": het adres is niet goed ingesteld"
"DHL Servicestation Address","DHL Servicestation Address"
"Can't create a mailbox-shipment for order #%s, customer wants a ServicePoint delivery","Can't create a mailbox-shipment for order #%s, customer wants a ServicePoint delivery"
"Show x days in forward (when available)","Show x days in forward (when available)"
"Monday","Maandag"
"Tuesday","Dinsdag"
"Wednesday","Woensdag"
"Thursday","Donderdag"
"Friday","Vrijdag"
"Saturday","Zaterdag"
"Sunday","Zondag"
"January","Januari"
"February","Februari"
"March","Maart"
"April","April"
"May","Mei"
"June","Juni"
"July","Juli"
"August","Augustus"
"September","September"
"October","Oktober"
"November","November"
"December","December"
"Add more packages","Voeg nog een label toe"
